Neutral mass,MZ,Adduct,Mass defect,Formula,HMDB_ID/RefMet name,Origin
185.99294,184.98566,M-H,0.98566,C3H7O7P,HMDB00807,Endogenous
185.99294,184.98566,M-H,0.98566,C3H7O7P,HMDB03391,Endogenous
185.99445,184.98718,M-H,0.98718,C5H3ClN4O2,HMDB06039,Endogenous
194.00714,192.99986,M-H,0.99986,C6H10O3S2,HMDB35717,Endogenous
196.9955,195.98822,M-H,0.98822,C5H11NO2Se,HMDB03966,Endogenous
197.99294,196.98566,M-H,0.98566,C4H7O7P,HMDB11750,Endogenous
208.00503,206.99775,M-H,0.99775,C7H12OS3,HMDB32653,Endogenous
213.00384,211.99656,M-H,0.99656,C4H8NO7P,HMDB12250,Endogenous
228.00674,226.99947,M-H,0.99947,C13H8S2,HMDB29735,Endogenous
246.00583,244.99855,M-H,0.99855,C5H12O7P2,HMDB01120,Endogenous
246.00583,244.99855,M-H,0.99855,C5H12O7P2,HMDB01347,Endogenous
308.00622,306.99894,M-H,0.99894,C6H14O10P2,HMDB01090,Endogenous
308.00622,306.99894,M-H,0.99894,C6H14O10P2,HMDB01981,Endogenous
339.99605,338.98877,M-H,0.98877,C6H14O12P2,HMDB00968,Endogenous
339.99605,338.98877,M-H,0.98877,C6H14O12P2,HMDB01047,Endogenous
339.99605,338.98877,M-H,0.98877,C6H14O12P2,HMDB01058,Endogenous
339.99605,338.98877,M-H,0.98877,C6H14O12P2,HMDB03514,Endogenous
339.99605,338.98877,M-H,0.98877,C6H14O12P2,HMDB06234,Endogenous
339.99605,338.98877,M-H,0.98877,C6H14O12P2,HMDB06235,Endogenous
339.99605,338.98877,M-H,0.98877,C6H14O12P2,HMDB06872,Endogenous
377.78258,376.7753,M-H,0.7753,C4H7Br2Cl2O4P,HMDB31806,Endogenous
381.00357,379.99629,M-H,0.99629,C8H15NO12S2,HMDB00843,Endogenous
398.99675,397.98947,M-H,0.98947,C15H14INO4,HMDB00793,Endogenous
404.0022,402.99492,M-H,0.99492,C9H14N2O12P2,HMDB00295,Endogenous
487.69909,486.69182,M-H,0.69182,C10H2Cl10O,HMDB01219,Endogenous
491.00083,489.99355,M-H,0.99355,C10H16N5O12P3,HMDB01532,Endogenous
494.99575,493.98847,M-H,0.98847,C9H16N5O13P3,HMDB00980,Endogenous
506.99575,505.98847,M-H,0.98847,C10H16N5O13P3,HMDB00538,Endogenous
506.99575,505.98847,M-H,0.98847,C10H16N5O13P3,HMDB01440,Endogenous
