Neutral mass,MZ,Adduct,Mass defect,Formula,HMDB_ID/RefMet name,Origin
317.9537,318.96097,M+H,0.96097,C14H10Cl4,Mitotane,RefMet
323.88339,324.89066,M+H,0.89066,C12H5Cl5,PCB118,RefMet
336.8949,337.90217,M+H,0.90217,C9H9Br2NO3,"3,5-dibromotyrosine",RefMet
351.9147,352.92197,M+H,0.92197,C14H9Cl5,Clofenotane,RefMet
353.9117,354.91897,M+H,0.91897,C14H9Cl5,"O,P'-DDT",RefMet
357.8444,358.85167,M+H,0.85167,C12H4Cl6,"2,2',4,4',5,5'-hexachlorobiphenyl",RefMet
357.84442,358.85169,M+H,0.85169,C12H4Cl6,PCB138,RefMet
385.9814,386.98867,M+H,0.98867,C16H13Cl3N2OS,Tioconazole,RefMet
391.80545,392.81272,M+H,0.81272,C12H3Cl7,PCB180,RefMet
399.94388,400.95115,M+H,0.95115,C6HF13O3S,Perfluorohexane-1-sulphonic acid,RefMet
403.8047,404.81197,M+H,0.81197,C12H7Br3O,"2,4-Dibromo-1-(4-bromophenoxy)benzene",RefMet
405.79777,406.80504,M+H,0.80504,C10H6Cl8,Cis-Chlordane,RefMet
413.9737,414.98097,M+H,0.98097,C8HF15O2,Perfluorooctanoic acid,RefMet
439.7588,440.76607,M+H,0.76607,C10H5Cl9,trans-nonachlor,RefMet
463.9705,464.97777,M+H,0.97777,C9HF17O2,Heptadecafluorononanoic acid,RefMet
498.95348,499.96075,M+H,0.96075,C8H2F17NO2S,Perfluorooctanesulfonamide,RefMet
499.93749,500.94476,M+H,0.94476,C8HF17O3S,Perfluorooctanesulfonic acid,RefMet
513.96731,514.97458,M+H,0.97458,C10HF19O2,Perfluorodecanoic acid,RefMet
539.62624,540.63351,M+H,0.63351,C10Cl12,Mirex,RefMet
559.6257,560.63297,M+H,0.63297,C12H5Br5O,"1,3,5-Tribromo-2-(2,4-dibromophenoxy)benzene",RefMet
559.62572,560.63299,M+H,0.63299,C12H5Br5O,"2,2',3,4,4'-Pentabromodiphenyl ether",RefMet
595.9136,596.92087,M+H,0.92087,C18H32Br4O2,"9,10,12,13-tetrabromo-stearic acid",RefMet
